anno,categoria,fascia_importo,numero_transazioni
2025,Salute regionale,(50-100],5
2025,Salute regionale,(500-1000],128
2025,Salute regionale,>1000,716
2025,Salute servizi,(0-25],100815
2025,Salute servizi,(100-200],40334
2025,Salute servizi,(200-500],48712
2025,Salute servizi,(25-50],66709
2025,Salute servizi,(50-100],45135
2025,Salute servizi,(500-1000],21545
2025,Salute servizi,>1000,70766
2025,Scuola,(0-25],10445532
2025,Scuola,(100-200],1712444
2025,Scuola,(200-500],1264326
2025,Scuola,(25-50],3336569
2025,Scuola,(50-100],1667078
2025,Scuola,(500-1000],155438
2025,Scuola,>1000,27276
2025,Tutte,(0-25],115809045
2025,Tutte,(100-200],87121376
2025,Tutte,(200-500],52972322
2025,Tutte,(25-50],79001926
2025,Tutte,(50-100],94138277
2025,Tutte,(500-1000],11978854
2025,Tutte,>1000,7654159
2025,Università,(0-25],1016808
2025,Università,(100-200],1728868
2025,Università,(200-500],1395206
2025,Università,(25-50],820286
2025,Università,(50-100],457527
2025,Università,(500-1000],1065698
2025,Università,>1000,698773
2025,Utility,(0-25],15594891
2025,Utility,(100-200],37957498
2025,Utility,(200-500],16395778
2025,Utility,(25-50],29483536
2025,Utility,(50-100],45255490
2025,Utility,(500-1000],3571597
2025,Utility,>1000,2739424
2026,ACI,(0-25],5664091
2026,ACI,(100-200],5471422
2026,ACI,(200-500],4970498
2026,ACI,(25-50],2351464
2026,ACI,(50-100],1835443
2026,ACI,(500-1000],495873
2026,ACI,>1000,50433
2026,Altri enti territoriali,(0-25],872937
2026,Altri enti territoriali,(100-200],464652
2026,Altri enti territoriali,(200-500],300131
2026,Altri enti territoriali,(25-50],485433
2026,Altri enti territoriali,(50-100],531481
2026,Altri enti territoriali,(500-1000],58224
2026,Altri enti territoriali,>1000,63845
2026,Comuni,(0-25],3778908
2026,Comuni,(100-200],4245465
2026,Comuni,(200-500],2142986
2026,Comuni,(25-50],5347722
2026,Comuni,(50-100],6047952
2026,Comuni,(500-1000],549998
2026,Comuni,>1000,360749
2026,Consorzi universitari,(0-25],24800
2026,Consorzi universitari,(100-200],76887
2026,Consorzi universitari,(200-500],14959
2026,Consorzi universitari,(25-50],8778
2026,Consorzi universitari,(50-100],6974
2026,Consorzi universitari,(500-1000],1410
2026,Consorzi universitari,>1000,1895
2026,Enti comunali,(0-25],2359
2026,Enti comunali,(100-200],10046
2026,Enti comunali,(200-500],5999
2026,Enti comunali,(25-50],9301
2026,Enti comunali,(50-100],10761
2026,Enti comunali,(500-1000],775
2026,Enti comunali,>1000,727
2026,Enti provinciali,(0-25],570
2026,Enti provinciali,(100-200],424
2026,Enti provinciali,(200-500],105
2026,Enti provinciali,(25-50],778
2026,Enti provinciali,(50-100],475
2026,Enti provinciali,(500-1000],294
2026,Enti provinciali,>1000,205
2026,Enti regionali,(0-25],819
2026,Enti regionali,(100-200],24
2026,Enti regionali,(200-500],32
2026,Enti regionali,(25-50],6
2026,Enti regionali,(50-100],22
2026,Enti regionali,(500-1000],9
2026,Enti regionali,>1000,57
2026,"Ordini, collegi e consigli professionali",(0-25],218792
2026,"Ordini, collegi e consigli professionali",(100-200],941812
2026,"Ordini, collegi e consigli professionali",(200-500],359438
2026,"Ordini, collegi e consigli professionali",(25-50],183396
2026,"Ordini, collegi e consigli professionali",(50-100],507945
2026,"Ordini, collegi e consigli professionali",(500-1000],9487
2026,"Ordini, collegi e consigli professionali",>1000,9117
2026,Province,(0-25],59887
2026,Province,(100-200],149911
2026,Province,(200-500],77682
2026,Province,(25-50],248678
2026,Province,(50-100],178137
2026,Province,(500-1000],16523
2026,Province,>1000,11962
2026,Pubbliche amministrazioni centrali,(0-25],19823615
2026,Pubbliche amministrazioni centrali,(100-200],4144743
2026,Pubbliche amministrazioni centrali,(200-500],3709279
2026,Pubbliche amministrazioni centrali,(25-50],6456418
2026,Pubbliche amministrazioni centrali,(50-100],7312043
2026,Pubbliche amministrazioni centrali,(500-1000],1433049
2026,Pubbliche amministrazioni centrali,>1000,832552
2026,Regioni,(0-25],669783
2026,Regioni,(100-200],1210871
2026,Regioni,(200-500],1082560
2026,Regioni,(25-50],541278
2026,Regioni,(50-100],490209
2026,Regioni,(500-1000],81867
2026,Regioni,>1000,41638
2026,Ricerca,(0-25],6137
2026,Ricerca,(100-200],7362
2026,Ricerca,(200-500],1763
2026,Ricerca,(25-50],7322
2026,Ricerca,(50-100],160
2026,Ricerca,(500-1000],5988
2026,Ricerca,>1000,1256
2026,Salute centrale,(0-25],1040861
2026,Salute centrale,(100-200],279595
2026,Salute centrale,(200-500],49942
2026,Salute centrale,(25-50],919990
2026,Salute centrale,(50-100],150401
2026,Salute centrale,(500-1000],5947
2026,Salute centrale,>1000,12909
2026,Salute locale,(0-25],2242809
2026,Salute locale,(100-200],366678
2026,Salute locale,(200-500],71687
2026,Salute locale,(25-50],2179664
2026,Salute locale,(50-100],594023
2026,Salute locale,(500-1000],11003
2026,Salute locale,>1000,16701
2026,Salute regionale,(0-25],13765
2026,Salute regionale,(100-200],6
2026,Salute regionale,(200-500],9
2026,Salute regionale,(25-50],8
2026,Salute regionale,(50-100],7
2026,Salute regionale,(500-1000],28
2026,Salute regionale,>1000,230
2026,Salute servizi,(0-25],42563
2026,Salute servizi,(100-200],17078
2026,Salute servizi,(200-500],20263
2026,Salute servizi,(25-50],30274
2026,Salute servizi,(50-100],18991
2026,Salute servizi,(500-1000],8594
2026,Salute servizi,>1000,26488
2026,Scuola,(0-25],4517032
2026,Scuola,(100-200],1105599
2026,Scuola,(200-500],861290
2026,Scuola,(25-50],2193849
2026,Scuola,(50-100],1044681
2026,Scuola,(500-1000],82535
2026,Scuola,>1000,10622
2026,Tutte,(0-25],44692371
2026,Tutte,(100-200],34203578
2026,Tutte,(200-500],22349766
2026,Tutte,(25-50],31578135
2026,Tutte,(50-100],35815810
2026,Tutte,(500-1000],4922821
2026,Tutte,>1000,2797223
2026,Università,(0-25],316193
2026,Università,(100-200],350855
2026,Università,(200-500],551033
2026,Università,(25-50],315927
2026,Università,(50-100],188509
2026,Università,(500-1000],456124
2026,Università,>1000,322494
2026,Utility,(0-25],5395746
2026,Utility,(100-200],15357796
2026,Utility,(200-500],8128434
2026,Utility,(25-50],10296418
2026,Utility,(50-100],16895985
2026,Utility,(500-1000],1704675
2026,Utility,>1000,1033096
Complessivo,ACI,(0-25],77189867
Complessivo,ACI,(100-200],85780442
Complessivo,ACI,(200-500],75757544
Complessivo,ACI,(25-50],31316903
Complessivo,ACI,(50-100],24125926
Complessivo,ACI,(500-1000],7377250
Complessivo,ACI,>1000,608135
Complessivo,Altri enti territoriali,(0-25],5985190
Complessivo,Altri enti territoriali,(100-200],5131523
Complessivo,Altri enti territoriali,(200-500],3120150
Complessivo,Altri enti territoriali,(25-50],6338787
Complessivo,Altri enti territoriali,(50-100],6138613
Complessivo,Altri enti territoriali,(500-1000],507022
Complessivo,Altri enti territoriali,>1000,562074
Complessivo,Comuni,(0-25],38370093
Complessivo,Comuni,(100-200],53111036
Complessivo,Comuni,(200-500],27526416
Complessivo,Comuni,(25-50],61389447
Complessivo,Comuni,(50-100],75666135
Complessivo,Comuni,(500-1000],5647918
Complessivo,Comuni,>1000,3660711
Complessivo,Consorzi universitari,(0-25],257526
Complessivo,Consorzi universitari,(100-200],918214
Complessivo,Consorzi universitari,(200-500],145737
Complessivo,Consorzi universitari,(25-50],81879
Complessivo,Consorzi universitari,(50-100],67209
Complessivo,Consorzi universitari,(500-1000],22208
Complessivo,Consorzi universitari,>1000,17490
Complessivo,Enti comunali,(0-25],164398
Complessivo,Enti comunali,(100-200],205436
Complessivo,Enti comunali,(200-500],86889
Complessivo,Enti comunali,(25-50],223450
Complessivo,Enti comunali,(50-100],268589
Complessivo,Enti comunali,(500-1000],12396
Complessivo,Enti comunali,>1000,10752
Complessivo,Enti donazioni,(0-25],13707
Complessivo,Enti donazioni,(100-200],189
Complessivo,Enti donazioni,(25-50],2400
Complessivo,Enti donazioni,(50-100],857
Complessivo,Enti provinciali,(0-25],9790
Complessivo,Enti provinciali,(100-200],3414
Complessivo,Enti provinciali,(200-500],2644
Complessivo,Enti provinciali,(25-50],15246
