anno_mese,categoria,numero_transazioni
2025-02,Pubbliche amministrazioni centrali,9529706
2025-02,Regioni,963776
2025-02,Ricerca,1476
2025-02,Salute centrale,578635
2025-02,Salute locale,1136341
2025-02,Salute regionale,4556
2025-02,Salute servizi,27617
2025-02,Scuola,2533373
2025-02,Tutte,36920210
2025-02,Università,516581
2025-02,Utility,11061744
2025-03,ACI,3445147
2025-03,Altri enti territoriali,458281
2025-03,Comuni,4934815
2025-03,Consorzi universitari,25435
2025-03,Enti comunali,13176
2025-03,Enti provinciali,604
2025-03,Enti regionali,25
2025-03,"Ordini, collegi e consigli professionali",614455
2025-03,Province,167662
2025-03,Pubbliche amministrazioni centrali,9641659
2025-03,Regioni,617151
2025-03,Ricerca,1112
2025-03,Salute centrale,621232
2025-03,Salute locale,1237498
2025-03,Salute regionale,355
2025-03,Salute servizi,33502
2025-03,Scuola,2568638
2025-03,Tutte,37975889
2025-03,Università,670058
2025-03,Utility,12925082
2025-04,ACI,3068368
2025-04,Altri enti territoriali,431516
2025-04,Comuni,4753869
2025-04,Consorzi universitari,20122
2025-04,Enti comunali,21338
2025-04,Enti provinciali,713
2025-04,Enti regionali,51
2025-04,"Ordini, collegi e consigli professionali",464562
2025-04,Province,146806
2025-04,Pubbliche amministrazioni centrali,9233805
2025-04,Regioni,556871
2025-04,Ricerca,1877
2025-04,Salute centrale,565127
2025-04,Salute locale,1127781
2025-04,Salute regionale,719
2025-04,Salute servizi,32477
2025-04,Scuola,1836205
2025-04,Tutte,35093271
2025-04,Università,514936
2025-04,Utility,12316112
2025-05,ACI,5636202
2025-05,Altri enti territoriali,702893
2025-05,Comuni,5158272
2025-05,Consorzi universitari,21210
2025-05,Enti comunali,15131
2025-05,Enti provinciali,530
2025-05,Enti regionali,45
2025-05,"Ordini, collegi e consigli professionali",347193
2025-05,Province,163622
2025-05,Pubbliche amministrazioni centrali,10083572
2025-05,Regioni,1079895
2025-05,Ricerca,2723
2025-05,Salute centrale,620108
2025-05,Salute locale,1231044
2025-05,Salute regionale,2215
2025-05,Salute servizi,28640
2025-05,Scuola,1363413
2025-05,Tutte,41639077
2025-05,Università,653127
2025-05,Utility,14524322
2025-06,ACI,3874670
2025-06,Altri enti territoriali,665880
2025-06,Comuni,5170078
2025-06,Consorzi universitari,20499
2025-06,Enti comunali,11214
2025-06,Enti provinciali,242
2025-06,Enti regionali,24
2025-06,"Ordini, collegi e consigli professionali",369670
2025-06,Province,168448
2025-06,Pubbliche amministrazioni centrali,9606021
2025-06,Regioni,775080
2025-06,Ricerca,3535
2025-06,Salute centrale,594800
2025-06,Salute locale,1168089
2025-06,Salute regionale,3800
2025-06,Salute servizi,30292
2025-06,Scuola,311882
2025-06,Tutte,35878346
2025-06,Università,446521
2025-06,Utility,12651150
2025-07,ACI,3254937
2025-07,Altri enti territoriali,612181
2025-07,Comuni,5560364
2025-07,Consorzi universitari,29817
2025-07,Enti comunali,9202
2025-07,Enti provinciali,97
2025-07,Enti regionali,23
2025-07,"Ordini, collegi e consigli professionali",166847
2025-07,Province,187596
2025-07,Pubbliche amministrazioni centrali,11453496
2025-07,Regioni,622668
2025-07,Ricerca,18060
2025-07,Salute centrale,604210
2025-07,Salute locale,1208227
2025-07,Salute regionale,7150
2025-07,Salute servizi,32641
2025-07,Scuola,332302
2025-07,Tutte,36228890
2025-07,Università,477182
2025-07,Utility,11645215
2025-08,ACI,2433065
2025-08,Altri enti territoriali,758373
2025-08,Comuni,4155548
2025-08,Consorzi universitari,23079
2025-08,Enti comunali,10372
2025-08,Enti provinciali,67
2025-08,Enti regionali,19
2025-08,"Ordini, collegi e consigli professionali",71857
2025-08,Province,153616
2025-08,Pubbliche amministrazioni centrali,6604381
2025-08,Regioni,531661
2025-08,Ricerca,2657
2025-08,Salute centrale,402129
2025-08,Salute locale,925141
2025-08,Salute regionale,3790
2025-08,Salute servizi,23376
2025-08,Scuola,196067
2025-08,Tutte,28500832
2025-08,Università,443238
2025-08,Utility,11760379
2025-09,ACI,5966523
2025-09,Altri enti territoriali,549969
2025-09,Comuni,5803997
2025-09,Consorzi universitari,55060
2025-09,Enti comunali,9062
2025-09,Enti provinciali,185
2025-09,Enti regionali,27
2025-09,"Ordini, collegi e consigli professionali",129975
2025-09,Province,182567
2025-09,Pubbliche amministrazioni centrali,9186041
2025-09,Regioni,1210078
2025-09,Ricerca,2271
2025-09,Salute centrale,629618
2025-09,Salute locale,1269562
2025-09,Salute regionale,6683
2025-09,Salute servizi,28297
2025-09,Scuola,1236774
2025-09,Tutte,41263691
2025-09,Università,1112244
2025-09,Utility,13880461
2025-10,ACI,3818148
2025-10,Altri enti territoriali,483973
2025-10,Comuni,5926975
2025-10,Consorzi universitari,61417
2025-10,Enti comunali,11197
2025-10,Enti provinciali,314
2025-10,Enti regionali,61
2025-10,"Ordini, collegi e consigli professionali",130153
2025-10,Province,206374
2025-10,Pubbliche amministrazioni centrali,10549405
2025-10,Regioni,674226
2025-10,Ricerca,7911
2025-10,Salute centrale,658110
2025-10,Salute locale,1298704
2025-10,Salute regionale,1564
2025-10,Salute servizi,35953
2025-10,Scuola,2711577
2025-10,Tutte,40101986
2025-10,Università,808067
2025-10,Utility,12711070
2025-11,ACI,2825757
2025-11,Altri enti territoriali,636169
2025-11,Comuni,6255832
2025-11,Consorzi universitari,40971
2025-11,Enti comunali,10804
2025-11,Enti provinciali,250
2025-11,Enti regionali,37
2025-11,"Ordini, collegi e consigli professionali",121269
2025-11,Province,181883
2025-11,Pubbliche amministrazioni centrali,9317568
2025-11,Regioni,440476
2025-11,Ricerca,921
2025-11,Salute centrale,620736
2025-11,Salute locale,1236043
2025-11,Salute regionale,1569
2025-11,Salute servizi,40155
2025-11,Scuola,2298857
2025-11,Tutte,36625377
2025-11,Università,544182
2025-11,Utility,12045300
2025-12,ACI,3731972
2025-12,Altri enti territoriali,701459
2025-12,Comuni,7149356
2025-12,Consorzi universitari,27309
2025-12,Enti comunali,8669
2025-12,Enti provinciali,295
2025-12,Enti regionali,76
2025-12,"Ordini, collegi e consigli professionali",134726
2025-12,Province,156840
2025-12,Pubbliche amministrazioni centrali,9112264
2025-12,Regioni,514603
2025-12,Ricerca,1746
2025-12,Salute centrale,528156
2025-12,Salute locale,1138077
2025-12,Salute regionale,1812
2025-12,Salute servizi,43869
2025-12,Scuola,1167722
2025-12,Tutte,38142138
2025-12,Università,558395
2025-12,Utility,13157839
2026-01,ACI,4581713
2026-01,Altri enti territoriali,801799
2026-01,Comuni,4089806
2026-01,Consorzi universitari,20971
2026-01,Enti comunali,5403
2026-01,Enti provinciali,343
2026-01,Enti regionali,563
2026-01,"Ordini, collegi e consigli professionali",305169
2026-01,Province,115532
2026-01,Pubbliche amministrazioni centrali,7516129
2026-01,Regioni,870408
2026-01,Ricerca,718
2026-01,Salute centrale,300238
2026-01,Salute locale,772536
2026-01,Salute regionale,5386
2026-01,Salute servizi,41297
2026-01,Scuola,1449677
2026-01,Tutte,30729197
2026-01,Università,339136
2026-01,Utility,9506100
